#,id,gender,baseColour,season,year,usage,productDisplayName,category_id
1,29789,Men,Pink,Summer,2013,Casual,Basics Men Pack of 3 T-shirt,40
2,53137,Women,Brown,Winter,2015,Casual,Catwalk Women Brown Sandals,83
3,21129,Women,Red,Fall,2011,Casual,s.Oliver Women Printed Red Top,49
4,6229,Men,Black,Summer,2011,Casual,Lee Men's Shot Black T-shirt,40
5,40580,Women,White,Summer,2012,Casual,W Women White Top,49
6,59466,Women,Silver,Summer,2015,Casual,Lucera Silver Ring,54
7,28492,Men,Blue,Summer,2012,Casual,Urban Yoga Men Blue Shirt,67
8,57101,Women,Cream,Summer,2012,Casual,Elle Women Cream Top,49
9,43932,Women,Blue,Winter,2012,Casual,Catwalk Women Blue Heels,65
10,57199,Women,Red,Summer,2012,Casual,Elle Women Red Tunic,148
11,32029,Men,Grey,Summer,2016,Sports,Playboy Men Pack of 3 Socks,75
12,42153,Men,Grey,Summer,2012,Casual,Mr. Men Grey T-shirt,40
13,14978,Men,Black,Fall,2011,Casual,New Hide Men Solid Black Belts,9
14,3628,Men,Grey,Winter,2011,Casual,Puma Men Jiff  Grey Navy Sandal,157
15,23951,Men,Black,Fall,2011,Casual,Provogue Men Black Sweater,155
16,56993,Women,Brown,Winter,2012,Casual,HM Women Brown Shoes,83
17,9510,Men,White,Fall,2011,Casual,Puma Men Ess woven White Shorts,47
18,2339,Men,White,Fall,2010,Casual,Reebok Men White T-shirt,40
19,39237,Women,Yellow,Summer,2012,Casual,Femella Women Yellow Top,49
20,59177,Men,Olive,Summer,2012,Casual,Gliders Men Olive Shoes,3
21,28319,Men,Brown,Winter,2018,,RTV_LoadTest,157
22,45941,Women,Black,Summer,2012,Casual,Mumbai Slang Women Black Top,49
23,8857,Men,Orange,Fall,2011,Casual,Mark Taylor Men Orange Striped Shirt,67
24,36852,Men,Blue,Winter,2013,Casual,Spykar Men Passion Blue Shirt,67
25,41706,Women,Brown,Winter,2012,Casual,Catwalk Women Brown Wedges,65
26,23327,Women,Brown,Fall,2011,Ethnic,W Women Brown Kurta,87
27,38759,Unisex,Black,Summer,2012,Casual,Nike Unisex Backpack,64
28,38598,Men,Purple,Summer,2012,Casual,Nike Men Purple T-shirt,40
29,57201,Women,Brown,Summer,2012,Casual,Elle Women Brown Tunic,148
30,48969,Men,Steel,Summer,2012,Casual,Revv Men Steel Ring,54
31,49246,Men,Red,Fall,2012,Casual,Arrow Men Red Cap,93
32,12311,Men,Blue,Fall,2011,Formal,Genesis Men Blue Shirt,67
33,2203,Men,Blue,Fall,2010,Sports,Adidas Men Blue Polo T-shirt,40
34,7341,Men,Brown,Fall,2011,Casual,Tantra Men Brown T-shirt,40
35,10872,Men,Blue,Fall,2011,Casual,Wrangler Men Dirtcross Blue T-Shirts,40
36,51838,Women,Black,Summer,2016,Casual,Bwitch Women Black Brief,21
37,21919,Women,Red,Fall,2011,Ethnic,BIBA Women Printed Red Kurta,87
38,59895,Women,Orange,Fall,2012,Casual,Femella Women Orange Dress,166
39,20891,Men,Green,Fall,2011,Casual,Basics Men Green Casual Shoes,3
40,42244,Women,Grey,Summer,2012,Casual,Sepia Women Grey Top,49
41,16999,Women,Blue,Winter,2012,Casual,Rocia Women Blue Flats,83
42,45577,Men,Black,Summer,2010,Casual,Arrow Men Black Sandals,157
43,23306,Women,Blue,Fall,2011,Ethnic,W Women Blue Kurta,87
44,51389,Men,White,Summer,2012,Casual,Myntra Men White Boxer,122
45,59144,Women,Black,Fall,2012,Casual,Tiptopp Women Black Sandals,65
46,36022,Men,Black,Fall,2012,Formal,OTLS Men Black Leather Belt,9
47,23151,Men,Black,Winter,2011,Formal,Genesis Black Formal Shirt,67
48,33753,Women,Black,Summer,2012,Casual,Vero Moda Women Black Top,49
49,14916,Men,White,Fall,2011,Casual,Mr. Men Men Be Happy White Tshirts,40
50,23336,Women,Red,Fall,2011,Ethnic,W Women Red Dupatta,6
51,50298,Men,Purple,Summer,2012,Formal,Parx Men Purple Tie,132
52,1528,Men,Black,Fall,2010,Sports,Puma Men Ferrari Black Fleece Jacket,145
53,53015,Women,Maroon,Fall,2012,Ethnic,FNF Maroon Sari,20
